PROVINSI,RUANG_Baik,RUANG_Rusak Ringan,RUANG_Rusak Sedang,RUANG_Rusak Berat,RUANG_Jumlah,LIS_No,LIS_Kode Kemdagri,LIS_Kode BPS,LIS_Tersedia,LIS_Tidak tersedia,LIS_Persentase Tersedia,KOM_No,KOM_Kode Kemdagri,KOM_Kode BPS,KOM_Status Satuan Pendidikan,KOM_nan,KOM_Total,PRIORITY_SCORE,PRIORITAS_PERBAIKAN_SARPRAS
ACEH,10261.0,7483.0,6076.0,3122.0,26942.0,276.0,25836.0,25836.0,3513.0,16.0,99.58159086227711,1.0,11.0,11.0,303.0,31.0,334.0,0.15134816122046907,Prioritas Tinggi
BALI,8646.0,4835.0,3042.0,1142.0,17665.0,2502.0,46007.0,46007.0,2416.0,0.0,100.0,17.0,51.0,51.0,79.0,97.0,176.0,0.062294746768188344,Prioritas Sedang
BANTEN,20757.0,10581.0,6117.0,3434.0,40889.0,2156.0,29100.0,29100.0,4628.0,6.0,99.90004359053985,16.0,36.0,36.0,361.0,444.0,805.0,0.1466628333722022,Prioritas Tinggi
BENGKULU,4232.0,3371.0,3359.0,717.0,11679.0,1205.0,17116.0,17116.0,1379.0,19.0,98.57013423858098,7.0,17.0,17.0,99.0,23.0,122.0,0.05953105338783385,Prioritas Sedang
D.K.I. JAKARTA,23320.0,3886.0,717.0,345.0,28268.0,945.0,18966.0,18966.0,2237.0,2.0,99.93416480037068,20.0,61.0,61.0,125.0,45.0,169.0,-0.03412792210770653,Prioritas Rendah
DAERAH ISTIMEWA YOGYAKARTA,8217.0,3878.0,1827.0,548.0,14470.0,1125.0,17081.0,17081.0,1847.0,1.0,99.94082840236686,14.0,34.0,34.0,625.0,213.0,838.0,0.03126611089526583,Prioritas Rendah
GORONTALO,3032.0,1491.0,1603.0,614.0,6740.0,2655.0,45086.0,45086.0,920.0,8.0,99.07158076068724,29.0,75.0,75.0,73.0,3.0,76.0,0.030498402732324535,Prioritas Rendah
JAMBI,6857.0,5787.0,4701.0,2377.0,19722.0,1023.0,16688.0,16688.0,2439.0,24.0,98.92213709976012,5.0,15.0,15.0,136.0,33.0,169.0,0.11977034903329084,Prioritas Sedang
JAWA BARAT,59592.0,46006.0,34432.0,14397.0,154427.0,4698.0,87246.0,87246.0,19628.0,31.0,99.86649040958325,12.0,32.0,32.0,882.0,1189.0,2071.0,0.8026905235693971,Prioritas Tinggi
JAWA TENGAH,51050.0,42356.0,26321.0,13457.0,133184.0,7175.0,116376.0,116376.0,18750.0,10.0,99.95069191256383,13.0,33.0,33.0,2138.0,599.0,2737.0,0.7042416009217044,Prioritas Tinggi
