PROVINSI,RUANG_Baik,RUANG_Rusak Ringan,RUANG_Rusak Sedang,RUANG_Rusak Berat,RUANG_Jumlah,LIS_No,LIS_Kode Kemdagri,LIS_Kode BPS,LIS_Tersedia,LIS_Tidak tersedia,LIS_Persentase Tersedia,KOM_No,KOM_Kode Kemdagri,KOM_Kode BPS,KOM_Status Satuan Pendidikan,KOM_nan,KOM_Total,PRIORITY_SCORE,PRIORITAS_PERBAIKAN_SARPRAS
LUAR NEGERI,594.0,169.0,9.0,5.0,777.0,,,,,,,39.0,0.0,0.0,9.0,1.0,10.0,-0.0005393665547146927,Prioritas Rendah
PROV. ACEH,10261.0,7483.0,6076.0,3122.0,26942.0,,,,,,,39.0,0.0,0.0,9.0,1.0,10.0,0.15134816122046907,Prioritas Tinggi
PROV. BALI,8646.0,4835.0,3042.0,1142.0,17665.0,,,,,,,39.0,0.0,0.0,9.0,1.0,10.0,0.062294746768188344,Prioritas Sedang
PROV. BANTEN,20757.0,10581.0,6117.0,3434.0,40889.0,,,,,,,39.0,0.0,0.0,9.0,1.0,10.0,0.1466628333722022,Prioritas Tinggi
PROV. BENGKULU,4232.0,3371.0,3359.0,717.0,11679.0,,,,,,,39.0,0.0,0.0,9.0,1.0,10.0,0.05953105338783385,Prioritas Sedang
PROV. D.K.I. JAKARTA,23320.0,3886.0,717.0,345.0,28268.0,,,,,,,39.0,0.0,0.0,9.0,1.0,10.0,-0.03412792210770653,Prioritas Rendah
PROV. DAERAH ISTIMEWA YOGYAKARTA,8217.0,3878.0,1827.0,548.0,14470.0,,,,,,,39.0,0.0,0.0,9.0,1.0,10.0,0.03126611089526583,Prioritas Rendah
PROV. GORONTALO,3032.0,1491.0,1603.0,614.0,6740.0,,,,,,,39.0,0.0,0.0,9.0,1.0,10.0,0.030498402732324535,Prioritas Rendah
PROV. JAMBI,6857.0,5787.0,4701.0,2377.0,19722.0,,,,,,,39.0,0.0,0.0,9.0,1.0,10.0,0.11977034903329084,Prioritas Sedang
PROV. JAWA BARAT,59592.0,46006.0,34432.0,14397.0,154427.0,,,,,,,39.0,0.0,0.0,9.0,1.0,10.0,0.8026905235693971,Prioritas Tinggi
PROV. JAWA TENGAH,51050.0,42356.0,26321.0,13457.0,133184.0,,,,,,,39.0,0.0,0.0,9.0,1.0,10.0,0.7042416009217044,Prioritas Tinggi
PROV. JAWA TIMUR,58679.0,42896.0,24218.0,14389.0,140182.0,,,,,,,39.0,0.0,0.0,9.0,1.0,10.0,0.6841140696228747,Prioritas Tinggi
PROV. KALIMANTAN BARAT,10878.0,8540.0,7243.0,4087.0,30748.0,,,,,,,39.0,0.0,0.0,9.0,1.0,10.0,0.19060393959908176,Prioritas Tinggi
PROV. KALIMANTAN SELATAN,9040.0,6053.0,5091.0,1638.0,21822.0,,,,,,,39.0,0.0,0.0,9.0,1.0,10.0,0.10113521907661908,Prioritas Sedang
PROV. KALIMANTAN TENGAH,6741.0,5247.0,4401.0,2089.0,18478.0,,,,,,,39.0,0.0,0.0,9.0,1.0,10.0,0.10666956165692575,Prioritas Sedang
PROV. KALIMANTAN TIMUR,9677.0,4432.0,2326.0,1497.0,17932.0,,,,,,,39.0,0.0,0.0,9.0,1.0,10.0,0.057248958858452166,Prioritas Sedang
PROV. KALIMANTAN UTARA,1976.0,887.0,549.0,582.0,3994.0,,,,,,,39.0,0.0,0.0,9.0,1.0,10.0,0.018674002822958786,Prioritas Rendah
PROV. KEP. BANGKA BELITUNG,3358.0,1740.0,1285.0,1047.0,7430.0,,,,,,,39.0,0.0,0.0,9.0,1.0,10.0,0.038169832386381664,Prioritas Rendah
PROV. KEP. RIAU,5900.0,2050.0,862.0,650.0,9462.0,,,,,,,39.0,0.0,0.0,9.0,1.0,10.0,0.018712581045543807,Prioritas Rendah
